AC113430.1	ENST00000506872	5	+	58197	58915	58915	58915	1	58197,	58915,
AC022424.1	ENST00000653379	5	-	5132100	5139409	5139409	5139409	4	5132100,5133636,5133867,5139250,	5133232,5133770,5134070,5139409,
AC022424.1	ENST00000656100	5	-	5132100	5139927	5139927	5139927	4	5132100,5133636,5133867,5139118,	5133232,5133770,5134070,5139927,
ADAMTS16	ENST00000511368	5	+	5140329	5223727	5140467	5222896	11	5140329,5140663,5146129,5182043,5186051,5187724,5189970,5191684,5200131,5209092,5222788,	5140539,5140766,5146455,5182305,5186251,5187808,5190130,5191790,5200269,5209246,5223727,
ADAMTS16	ENST00000274181	5	+	5140329	5320304	5140467	5319138	23	5140329,5140663,5146129,5182043,5186051,5187724,5189970,5191684,5200131,5209092,5222788,5232367,5235013,5236968,5239150,5239680,5242052,5262656,5303267,5303571,5306503,5318133,5319022,	5140539,5140766,5146455,5182305,5186251,5187808,5190130,5191790,5200269,5209246,5222884,5232516,5235186,5237099,5239274,5239925,5242191,5262783,5303469,5303766,5306728,5318281,5320304,
ADAMTS16	ENST00000433402	5	+	5140467	5303807	5303807	5303807	20	5140467,5140663,5146129,5182043,5186051,5187724,5189970,5191684,5200131,5209092,5222788,5232367,5235013,5236968,5239150,5239680,5242052,5262656,5303267,5303571,	5140539,5140766,5146455,5182305,5186251,5187808,5190130,5191790,5200269,5209246,5222884,5232516,5235186,5237099,5239274,5239925,5242191,5262783,5303469,5303807,
ADAMTS16	ENST00000513709	5	+	5235036	5239187	5239187	5239187	2	5235036,5239150,	5235186,5239187,
AC022424.2	ENST00000514848	5	-	5142137	5176214	5176214	5176214	2	5142137,5175994,	5142371,5176214,
ALG3P1	ENST00000508806	5	-	5375722	5376836	5376836	5376836	1	5375722,	5376836,
AC091978.1	ENST00000669435	5	-	5390095	5422116	5422116	5422116	3	5390095,5420750,5421402,	5391203,5420840,5422116,
MTCO1P30	ENST00000515244	5	-	5395377	5395957	5395957	5395957	1	5395377,	5395957,
MTCO2P30	ENST00000503662	5	-	5395971	5396335	5396335	5396335	1	5395971,	5396335,
MTCO1P31	ENST00000506355	5	-	5396476	5396968	5396968	5396968	1	5396476,	5396968,
ICE1	ENST00000512608	5	+	5420663	5454615	5441145	5454615	11	5420663,5436417,5437079,5439894,5441111,5443167,5444288,5447426,5447720,5447840,5454551,	5420692,5436476,5437114,5439913,5441223,5443244,5444326,5447509,5447760,5447897,5454615,
ICE1	ENST00000296564	5	+	5422676	5490220	5422915	5489330	19	5422676,5436417,5437079,5439894,5441111,5443167,5444288,5447426,5447720,5447840,5454551,5457331,5460435,5466333,5468827,5473557,5475972,5486720,5489148,	5422999,5436476,5437114,5439913,5441223,5443244,5444326,5447509,5447760,5447897,5454638,5457741,5465226,5466502,5468988,5473748,5476079,5486819,5490220,
ICE1	ENST00000505464	5	+	5422741	5437836	5437836	5437836	3	5422741,5436417,5437079,	5422999,5436476,5437836,
AC026736.1	ENST00000659085	5	+	5688804	5694742	5694742	5694742	3	5688804,5693613,5694025,	5688854,5693745,5694742,
AC010266.2	ENST00000564741	5	-	6019028	6022283	6022283	6022283	1	6019028,	6022283,
AC010266.1	ENST00000568962	5	+	6030034	6030841	6030841	6030841	2	6030034,6030637,	6030272,6030841,
AC026797.1	ENST00000624837	5	+	6134302	6137171	6137171	6137171	1	6134302,	6137171,
HMGB3P3	ENST00000510526	5	+	6289856	6290624	6290624	6290624	2	6289856,6290450,	6290082,6290624,
LINC02145	ENST00000507444	5	-	6310440	6337292	6337292	6337292	2	6310440,6337149,	6312716,6337292,
LINC02145	ENST00000502644	5	-	6337238	6339884	6339884	6339884	2	6337238,6339411,	6337323,6339884,
MED10	ENST00000255764	5	-	6371873	6378547	6372502	6378483	4	6371873,6374323,6377165,6378361,	6372601,6374426,6377249,6378547,
MED10	ENST00000503112	5	-	6372164	6374811	6374811	6374811	2	6372164,6374323,	6372601,6374811,
MED10	ENST00000504058	5	-	6376811	6378571	6378571	6378571	2	6376811,6378361,	6377249,6378571,
AC093307.1	ENST00000653641	5	+	6378673	6411690	6411690	6411690	4	6378673,6400055,6409199,6410190,	6379320,6400188,6409327,6411690,
UBE2QL1	ENST00000399816	5	+	6448858	6496723	6448893	6491349	2	6448858,6491217,	6449247,6496723,
AC027334.1	ENST00000603257	5	-	6532890	6533200	6533200	6533200	1	6532890,	6533200,
LINC01018	ENST00000507628	5	+	6582135	6587670	6587670	6587670	5	6582135,6583602,6585773,6586227,6587033,	6582601,6583801,6586027,6586346,6587670,
LINC01018	ENST00000513844	5	+	6582135	6586604	6586604	6586604	2	6582135,6585773,	6582601,6586604,
LINC01018	ENST00000505626	5	+	6582137	6588499	6588499	6588499	5	6582137,6582419,6583602,6585773,6586227,	6582266,6582601,6583801,6586027,6588499,
LINC01018	ENST00000659049	5	+	6582140	6589206	6589206	6589206	4	6582140,6583602,6585773,6586227,	6582601,6583801,6586027,6589206,
LINC01018	ENST00000668899	5	+	6582141	6588497	6588497	6588497	5	6582141,6583701,6585773,6586227,6587262,	6582558,6583801,6586027,6586346,6588497,
LINC01018	ENST00000666121	5	+	6582145	6589200	6589200	6589200	3	6582145,6585773,6586227,	6582601,6586027,6589200,
LINC01018	ENST00000652158	5	+	6582152	6588480	6588480	6588480	5	6582152,6583602,6585773,6586227,6586839,	6582601,6583801,6586027,6586346,6588480,
LINC01018	ENST00000665924	5	+	6582169	6589200	6589200	6589200	4	6582169,6583701,6585773,6586227,	6582601,6583801,6586027,6589200,
LINC01018	ENST00000667226	5	+	6582676	6589206	6589206	6589206	3	6582676,6585773,6586227,	6582798,6586027,6589206,
LINC01018	ENST00000667172	5	+	6583269	6586945	6586945	6586945	2	6583269,6585773,	6583801,6586945,
LINC01018	ENST00000664093	5	+	6583272	6589222	6589222	6589222	3	6583272,6585773,6586227,	6583801,6586027,6589222,
LINC01018	ENST00000660957	5	+	6583272	6589195	6589195	6589195	2	6583272,6585773,	6583801,6589195,
LINC01018	ENST00000661215	5	+	6583299	6600288	6600288	6600288	3	6583299,6585773,6600120,	6583801,6586027,6600288,
LINC01018	ENST00000659245	5	+	6583302	6589175	6589175	6589175	4	6583302,6585773,6586227,6588075,	6583801,6586027,6586346,6589175,
LINC01018	ENST00000658539	5	+	6583302	6593567	6593567	6593567	3	6583302,6585773,6591780,	6583801,6586027,6593567,
LINC01018	ENST00000659719	5	+	6583302	6589013	6589013	6589013	3	6583302,6585773,6586346,	6583801,6586027,6589013,
LINC01018	ENST00000657872	5	+	6583302	6588481	6588481	6588481	3	6583302,6585773,6587262,	6583801,6586027,6588481,
LINC01018	ENST00000671065	5	+	6583302	6589141	6589141	6589141	4	6583302,6585773,6586227,6587262,	6583801,6586027,6586346,6589141,
LINC01018	ENST00000658850	5	+	6583571	6588498	6588498	6588498	4	6583571,6584637,6585773,6586227,	6583801,6584695,6586027,6588498,
LINC01018	ENST00000669289	5	+	6583604	6600283	6600283	6600283	4	6583604,6585773,6586227,6600120,	6583801,6586027,6586346,6600283,
LINC01018	ENST00000659556	5	+	6583615	6592871	6592871	6592871	4	6583615,6585773,6586227,6591780,	6583801,6586027,6586346,6592871,
LINC01018	ENST00000507582	5	+	6585771	6587925	6587925	6587925	2	6585771,6586227,	6586027,6587925,
NSUN2	ENST00000264670	5	-	6599238	6633044	6599925	6632979	19	6599238,6602460,6604137,6604604,6605272,6606819,6607199,6609825,6610954,6611724,6616726,6617949,6620105,6622015,6623213,6625563,6631872,6632598,6632883,	6600232,6602500,6604276,6604685,6605408,6606912,6607384,6609922,6611085,6611798,6616857,6618024,6620298,6622100,6623285,6625669,6631977,6632756,6633044,
NSUN2	ENST00000504374	5	-	6599239	6633291	6620226	6632979	18	6599239,6602460,6604137,6604604,6605272,6606819,6607199,6609825,6610954,6611724,6616726,6617949,6620105,6623213,6625563,6631872,6632598,6632883,	6600232,6602500,6604276,6604685,6605408,6606912,6607384,6609922,6611085,6611798,6616857,6618024,6620298,6623285,6625669,6631977,6632756,6633291,
NSUN2	ENST00000505892	5	-	6599240	6621489	6621489	6621489	13	6599240,6602460,6604137,6604604,6605272,6606819,6607199,6609825,6610954,6611724,6616726,6617949,6620105,	6600232,6602500,6604276,6604685,6605408,6606912,6607384,6609922,6611085,6611798,6616857,6618024,6621489,
NSUN2	ENST00000513888	5	-	6599399	6604882	6604882	6604882	4	6599399,6602460,6604137,6604604,	6600232,6602500,6604276,6604882,
NSUN2	ENST00000506139	5	-	6599568	6633042	6599925	6632979	18	6599568,6602460,6604137,6604604,6605272,6606819,6607199,6609825,6610954,6611724,6616726,6617949,6620105,6622015,6623213,6625563,6632598,6632883,	6600232,6602500,6604276,6604685,6605408,6606912,6607384,6609922,6611085,6611798,6616857,6618024,6620298,6622100,6623285,6625669,6632756,6633042,
NSUN2	ENST00000514127	5	-	6600029	6607257	6604200	6607257	6	6600029,6602460,6604137,6604604,6606819,6607199,	6600232,6602500,6604276,6604685,6606912,6607257,
NSUN2	ENST00000502932	5	-	6603868	6604708	6604708	6604708	2	6603868,6604604,	6604276,6604708,
NSUN2	ENST00000507888	5	-	6604800	6606926	6606926	6606926	2	6604800,6606819,	6605408,6606926,
NSUN2	ENST00000505264	5	-	6620115	6625638	6625638	6625638	4	6620115,6621602,6623213,6625563,	6620298,6621744,6623285,6625638,
SRD5A1	ENST00000510531	5	+	6633426	6668849	6633576	6644895	6	6633426,6644807,6651841,6656077,6662815,6668201,	6633869,6645309,6652008,6656179,6662966,6668849,
SRD5A1	ENST00000513117	5	+	6633426	6668972	6633576	6662828	4	6633426,6656077,6662815,6668201,	6633869,6656179,6662966,6668972,
SRD5A1	ENST00000274192	5	+	6633439	6674386	6633576	6668268	5	6633439,6651841,6656077,6662815,6668201,	6633869,6652008,6656179,6662966,6674386,
SRD5A1	ENST00000504286	5	+	6633455	6653527	6653527	6653527	3	6633455,6651841,6653446,	6633869,6652008,6653527,
LINC02102	ENST00000503989	5	-	6686324	6707711	6707711	6707711	3	6686324,6702557,6705107,	6686932,6702709,6707711,
LINC02102	ENST00000664592	5	-	6702167	6705975	6705975	6705975	3	6702167,6702557,6705107,	6702340,6702709,6705975,
LINC02102	ENST00000667865	5	-	6702173	6706671	6706671	6706671	3	6702173,6702557,6705107,	6702337,6702709,6706671,
LINC02102	ENST00000514788	5	-	6705149	6706272	6706272	6706272	2	6705149,6706027,	6705285,6706272,
TENT4A	ENST00000230859	5	+	6713431	6757044	6713983	6754945	13	6713431,6737509,6738682,6739731,6742489,6743711,6746213,6748463,6749556,6750330,6751038,6752872,6754750,	6714699,6737633,6738729,6739852,6742597,6743840,6746427,6748590,6749657,6750503,6751197,6753037,6757044,
TENT4A	ENST00000515721	5	+	6714631	6737624	6737543	6737624	2	6714631,6737509,	6715119,6737624,
TENT4A	ENST00000631941	5	+	6714788	6755030	6737543	6754945	13	6714788,6737509,6738682,6739731,6742489,6743711,6746213,6748463,6749556,6750330,6751038,6752872,6754750,	6714942,6737633,6738729,6739852,6742597,6743840,6746427,6748590,6749657,6750503,6751197,6753037,6755030,
TENT4A	ENST00000511764	5	+	6745914	6749657	6749657	6749657	3	6745914,6748463,6749556,	6746427,6748590,6749657,
TENT4A	ENST00000514697	5	+	6745987	6755486	6755486	6755486	7	6745987,6748463,6749556,6750330,6751038,6752872,6754750,	6746427,6748590,6749657,6750503,6751197,6753037,6755486,
TENT4A	ENST00000505457	5	+	6749554	6750816	6750816	6750816	2	6749554,6750330,	6749657,6750816,
TENT4A	ENST00000514410	5	+	6750379	6751489	6751489	6751489	2	6750379,6751038,	6750503,6751489,
LINC02236	ENST00000506093	5	+	6765890	6771953	6771953	6771953	3	6765890,6768274,6771598,	6765981,6768424,6771953,
LINC02236	ENST00000649262	5	+	6765893	6776669	6776669	6776669	2	6765893,6775558,	6765981,6776669,
LINC02236	ENST00000648399	5	+	6775817	6833120	6833120	6833120	7	6775817,6777049,6777333,6826642,6831555,6832221,6832990,	6776029,6777158,6777509,6826851,6831614,6832298,6833120,
LINC02236	ENST00000660855	5	+	6777081	6786687	6786687	6786687	3	6777081,6777333,6786105,	6777158,6777509,6786687,
LINC02236	ENST00000508881	5	+	6795879	6826728	6826728	6826728	2	6795879,6826642,	6796345,6826728,
LINC02236	ENST00000652281	5	+	6826559	6827822	6827822	6827822	2	6826559,6827165,	6826851,6827822,
AC122710.2	ENST00000606566	5	+	6779457	6779998	6779998	6779998	1	6779457,	6779998,
MIR4278	ENST00000636094	5	-	6827852	6827921	6827921	6827921	1	6827852,	6827921,
LINC02196	ENST00000648809	5	+	6839459	7180267	7180267	7180267	6	6839459,6923738,7036480,7148767,7150803,7178991,	6839631,6923928,7036565,7148814,7151028,7180267,
LINC02196	ENST00000512838	5	+	6933669	7214054	7214054	7214054	7	6933669,7036480,7148767,7150803,7178991,7190781,7213932,	6933738,7036565,7148814,7151028,7179102,7190946,7214054,
LINC02196	ENST00000651243	5	+	6989963	7219291	7219291	7219291	5	6989963,7148767,7150803,7178991,7217784,	6990070,7148814,7151028,7179102,7219291,
RN7SKP79	ENST00000363373	5	-	6848126	6848462	6848462	6848462	1	6848126,	6848462,
AC122710.1	ENST00000655466	5	+	6868553	6888087	6888087	6888087	4	6868553,6870457,6870742,6886425,	6868633,6870621,6870858,6888087,
AC122710.1	ENST00000510622	5	+	6868558	6886787	6886787	6886787	3	6868558,6870742,6886425,	6868633,6870858,6886787,
RNA5SP176	ENST00000390956	5	+	7047226	7047336	7047336	7047336	1	7047226,	7047336,
AC025756.1	ENST00000660096	5	-	7065090	7069351	7069351	7069351	2	7065090,7069012,	7067047,7069351,
AC091889.1	ENST00000650863	5	-	7226155	7229357	7229357	7229357	2	7226155,7229088,	7227547,7229357,
RF00017	ENST00000422908	5	+	7239780	7240018	7240018	7240018	1	7239780,	7240018,
AC091951.4	ENST00000649201	5	+	7272791	7276923	7276923	7276923	3	7272791,7275839,7276656,	7272920,7275979,7276923,
AC091951.2	ENST00000504093	5	-	7287923	7288477	7288477	7288477	2	7287923,7288267,	7287959,7288477,
AC091951.3	ENST00000650000	5	+	7289890	7326603	7326603	7326603	4	7289890,7290791,7296214,7326065,	7289974,7290894,7296349,7326603,
AC091951.3	ENST00000650671	5	+	7290583	7326603	7326603	7326603	8	7290583,7296214,7304881,7305697,7314486,7314819,7326065,7326403,	7290894,7296349,7304952,7305905,7314680,7314915,7326189,7326603,
AC091951.3	ENST00000500762	5	+	7290822	7296345	7296345	7296345	2	7290822,7296214,	7290894,7296345,
AC091951.3	ENST00000512746	5	+	7326063	7326609	7326609	7326609	2	7326063,7326403,	7326189,7326609,
AC091951.1	ENST00000512854	5	-	7299773	7306592	7306592	7306592	8	7299773,7301752,7302223,7303540,7303911,7304231,7305073,7306508,	7301459,7301894,7302282,7303823,7303962,7304261,7305203,7306592,
AC027343.3	ENST00000504494	5	+	7344578	7345921	7345921	7345921	2	7344578,7345632,	7344853,7345921,
LINC02123	ENST00000514869	5	-	7346985	7347977	7347977	7347977	2	7346985,7347875,	7347768,7347977,
LINC02123	ENST00000666886	5	-	7347029	7348671	7348671	7348671	2	7347029,7347972,	7347768,7348671,
AC027343.1	ENST00000504765	5	-	7362978	7364531	7364531	7364531	3	7362978,7363502,7364343,	7363115,7363584,7364531,
AC027343.2	ENST00000513219	5	-	7367928	7373074	7373074	7373074	3	7367928,7369432,7372872,	7367996,7369505,7373074,
LINC02142	ENST00000657298	5	+	7373114	7391895	7391895	7391895	3	7373114,7379612,7391290,	7373515,7379713,7391895,
LINC02142	ENST00000500616	5	+	7373116	7379790	7379790	7379790	2	7373116,7379612,	7373515,7379790,
LINC02142	ENST00000655220	5	+	7373171	7391907	7391907	7391907	4	7373171,7379612,7386923,7391290,	7373515,7379713,7387050,7391907,
ADCY2	ENST00000338316	5	+	7396207	7830081	7396296	7826871	25	7396207,7414572,7520737,7626166,7690690,7695751,7698246,7706743,7707705,7709210,7712855,7717156,7724544,7727163,7743667,7757448,7766686,7772931,7784364,7789641,7802217,7804584,7816865,7820564,7826718,	7396506,7414770,7520899,7626316,7690839,7695863,7698374,7706902,7707838,7709387,7712899,7717237,7724614,7727261,7743752,7757586,7766806,7773101,7784449,7789800,7802364,7804692,7816980,7820689,7830081,
ADCY2	ENST00000484965	5	+	7414628	7522622	7522622	7522622	3	7414628,7520737,7522355,	7414770,7520899,7522622,
ADCY2	ENST00000498598	5	+	7414663	7658206	7658206	7658206	4	7414663,7520737,7626166,7658025,	7414770,7520899,7626316,7658206,
ADCY2	ENST00000515681	5	+	7611108	7695816	7626229	7695816	4	7611108,7626166,7690690,7695751,	7611175,7626316,7690839,7695816,
ADCY2	ENST00000513693	5	+	7685090	7692271	7692271	7692271	2	7685090,7690557,	7685279,7692271,
ADCY2	ENST00000493243	5	+	7773067	7820689	7773067	7789769	7	7773067,7784364,7789658,7802217,7804584,7816865,7820564,	7773101,7784449,7789800,7802364,7804692,7816980,7820689,
ADCY2	ENST00000382531	5	+	7782172	7816874	7816874	7816874	6	7782172,7784364,7789641,7802217,7804584,7816865,	7782267,7784449,7789800,7802364,7804692,7816874,
ADCY2	ENST00000489501	5	+	7793618	7827532	7827532	7827532	5	7793618,7804584,7816865,7820564,7826718,	7802364,7804692,7816980,7820689,7827532,
AC093305.1	ENST00000514105	5	-	7707801	7749766	7749766	7749766	3	7707801,7746204,7749740,	7708161,7746340,7749766,
C5orf49	ENST00000399810	5	-	7830377	7851133	7831849	7851021	3	7830377,7835381,7850874,	7832029,7835498,7851133,
C5orf49	ENST00000509627	5	-	7831397	7851151	7831849	7851021	3	7831397,7835381,7850874,	7832023,7835498,7851151,
MTRR	ENST00000507837	5	+	7851185	7862018	7862018	7862018	3	7851185,7856786,7861950,	7851585,7856892,7862018,
MTRR	ENST00000502509	5	+	7851194	7878038	7878038	7878038	4	7851194,7861950,7875257,7877943,	7851585,7862057,7875375,7878038,
MTRR	ENST00000511639	5	+	7851199	7861682	7861682	7861682	3	7851199,7856786,7861484,	7851585,7856892,7861682,
MTRR	ENST00000513439	5	+	7869103	7900279	7870794	7875267	15	7869103,7870769,7873372,7875257,7877943,7883154,7885700,7886614,7889094,7891371,7892726,7895733,7896863,7897064,7899913,	7869215,7870923,7873512,7875375,7878322,7883277,7885854,7886703,7889275,7891414,7892913,7895852,7896956,7897247,7900279,
MTRR	ENST00000264668	5	+	7869103	7901124	7869133	7900058	15	7869103,7870769,7873372,7875257,7877943,7883154,7885700,7886614,7889094,7891371,7892726,7895733,7896863,7897064,7899913,	7869189,7870923,7873526,7875375,7878322,7883277,7885854,7886703,7889275,7891414,7892913,7895852,7896956,7897247,7901124,
MTRR	ENST00000508047	5	+	7869147	7878024	7869147	7875267	5	7869147,7870769,7873372,7875257,7877943,	7869189,7870923,7873512,7875375,7878024,
MTRR	ENST00000510279	5	+	7869147	7878149	7870794	7875305	4	7869147,7870769,7875257,7877943,	7869215,7870923,7875375,7878149,
MTRR	ENST00000514220	5	+	7869147	7878235	7869147	7878235	3	7869147,7875257,7877943,	7869215,7875375,7878235,
MTRR	ENST00000511461	5	+	7869147	7901124	7869147	7875305	14	7869147,7870769,7875257,7877943,7883154,7885700,7886614,7889094,7891371,7892726,7895733,7896863,7897064,7899913,	7869189,7870923,7875375,7878322,7883277,7885854,7886703,7889275,7891414,7892913,7895852,7896956,7897247,7901124,
MTRR	ENST00000503550	5	+	7869183	7877965	7870794	7872241	6	7869183,7870769,7872229,7873372,7875257,7877943,	7869215,7870923,7872305,7873526,7875375,7877965,
MTRR	ENST00000440940	5	+	7869188	7901124	7870794	7900058	15	7869188,7870769,7873372,7875257,7877943,7883154,7885700,7886614,7889094,7891371,7892726,7895733,7896863,7897064,7899913,	7869215,7870923,7873526,7875375,7878322,7883277,7885854,7886703,7889275,7891414,7892913,7895852,7896956,7897247,7901124,
MTRR	ENST00000514369	5	+	7869193	7883265	7870794	7875305	5	7869193,7870769,7875257,7877948,7883154,	7869215,7870923,7875375,7878322,7883265,
MTRR	ENST00000502550	5	+	7869226	7878012	7870794	7878012	5	7869226,7870769,7873372,7875257,7877943,	7869298,7870923,7873526,7875375,7878012,
MTRR	ENST00000506877	5	+	7869238	7870917	7870794	7870917	2	7869238,7870769,	7869718,7870917,
MTRR	ENST00000512217	5	+	7870260	7875310	7870794	7875310	4	7870260,7870769,7873372,7875257,	7870419,7870923,7873526,7875310,
MTRR	ENST00000510525	5	+	7870769	7901116	7870769	7889129	13	7870769,7873372,7875257,7877943,7883154,7885700,7889094,7891371,7892726,7895733,7896863,7897064,7899913,	7870923,7873526,7875375,7878322,7883277,7885854,7889275,7891414,7892913,7895852,7896956,7897247,7901116,
MTRR	ENST00000508890	5	+	7875161	7878075	7878075	7878075	2	7875161,7877943,	7875375,7878075,
MTRR	ENST00000508101	5	+	7885115	7891388	7891388	7891388	5	7885115,7885700,7886614,7889094,7891371,	7885258,7885854,7886703,7889275,7891388,
MTRR	ENST00000509961	5	+	7885784	7890412	7890412	7890412	4	7885784,7886614,7889094,7890260,	7885854,7886703,7889275,7890412,
MTRR	ENST00000512311	5	+	7886578	7892763	7892763	7892763	4	7886578,7889094,7891371,7892726,	7886703,7889275,7891414,7892763,
MTRR	ENST00000507414	5	+	7890345	7893650	7893650	7893650	4	7890345,7891371,7892726,7893506,	7890412,7891414,7892913,7893650,
MTRR	ENST00000507202	5	+	7891368	7893175	7893175	7893175	2	7891368,7892726,	7891414,7893175,
MTRR	ENST00000508354	5	+	7896436	7897100	7897100	7897100	2	7896436,7897064,	7896956,7897100,
MTRR	ENST00000506115	5	+	7899914	7901119	7901119	7901119	2	7899914,7901042,	7900457,7901119,
MTRR	ENST00000509379	5	+	7901066	7906025	7906025	7906025	3	7901066,7904048,7905746,	7901128,7904162,7906025,
FASTKD3	ENST00000264669	5	-	7859158	7869031	7859434	7868083	7	7859158,7861148,7861582,7862822,7865897,7866645,7868978,	7859539,7861263,7861652,7862997,7865983,7868196,7869031,
FASTKD3	ENST00000513658	5	-	7859335	7869026	7869026	7869026	6	7859335,7861148,7861582,7862822,7865897,7868978,	7859539,7861263,7861773,7862997,7865983,7869026,
FASTKD3	ENST00000282110	5	-	7859380	7869010	7869010	7869010	6	7859380,7861148,7861582,7862822,7865897,7868978,	7859539,7861263,7861652,7862997,7865983,7869010,
FASTKD3	ENST00000511261	5	-	7859396	7868170	7867346	7868083	7	7859396,7861148,7861582,7862822,7865897,7866645,7867952,	7859539,7861263,7861652,7862997,7865983,7867389,7868170,
FASTKD3	ENST00000507036	5	-	7859402	7868170	7861645	7868083	6	7859402,7861148,7861582,7862822,7865897,7866645,	7859539,7861263,7861773,7862997,7865983,7868170,
FASTKD3	ENST00000513577	5	-	7861608	7863296	7863296	7863296	2	7861608,7862822,	7861652,7863296,
FASTKD3	ENST00000504695	5	-	7867349	7869037	7867349	7868083	2	7867349,7868978,	7868107,7869037,
FASTKD3	ENST00000507572	5	-	7867489	7869032	7867489	7868032	2	7867489,7868978,	7868032,7869032,
AC025174.1	ENST00000511758	5	+	7924291	7925398	7925398	7925398	3	7924291,7924953,7925234,	7924378,7924997,7925398,
RNU1-76P	ENST00000362903	5	+	7980145	7980304	7980304	7980304	1	7980145,	7980304,
AC116361.1	ENST00000669941	5	+	8012376	8014804	8014804	8014804	2	8012376,8013822,	8012424,8014804,
AC091941.1	ENST00000623003	5	-	8080185	8080761	8080761	8080761	1	8080185,	8080761,
AC091912.2	ENST00000624798	5	+	8143617	8143784	8143784	8143784	1	8143617,	8143784,
AC091912.1	ENST00000511351	5	-	8157540	8157788	8157788	8157788	1	8157540,	8157788,
AC091912.3	ENST00000654773	5	-	8207018	8366437	8366437	8366437	2	8207018,8366176,	8209844,8366437,
LINC02226	ENST00000501071	5	-	8333480	8457558	8457558	8457558	6	8333480,8334577,8337180,8387526,8452222,8457448,	8334452,8334726,8337295,8387709,8452280,8457558,
AC091965.1	ENST00000512406	5	-	8387637	8457564	8457564	8457564	5	8387637,8433072,8433854,8452222,8457448,	8387709,8433148,8433972,8452280,8457564,
AC091965.1	ENST00000607662	5	-	8446100	8457532	8457532	8457532	3	8446100,8452222,8457448,	8446355,8452280,8457532,
AC091965.3	ENST00000506236	5	-	8410788	8410996	8410996	8410996	1	8410788,	8410996,
AC091965.4	ENST00000607691	5	-	8444948	8445535	8445535	8445535	1	8444948,	8445535,
MIR4458HG	ENST00000667556	5	+	8450700	8460096	8460096	8460096	2	8450700,8459932,	8451644,8460096,
MIR4458HG	ENST00000669566	5	+	8450710	8452423	8452423	8452423	1	8450710,	8452423,
MIR4458HG	ENST00000660398	5	+	8450710	8452941	8452941	8452941	2	8450710,8452708,	8451644,8452941,
MIR4458HG	ENST00000669529	5	+	8450710	8456783	8456783	8456783	2	8450710,8455990,	8451644,8456783,
MIR4458HG	ENST00000669539	5	+	8450719	8456783	8456783	8456783	2	8450719,8455990,	8451657,8456783,
MIR4458HG	ENST00000605918	5	+	8450742	8460087	8460087	8460087	2	8450742,8459932,	8451644,8460087,
MIR4458HG	ENST00000669668	5	+	8457379	8461660	8461660	8461660	2	8457379,8459932,	8457766,8461660,
MIR4458HG	ENST00000502001	5	+	8457492	8460663	8460663	8460663	2	8457492,8459932,	8457766,8460663,
MIR4458HG	ENST00000664641	5	+	8457560	8463092	8463092	8463092	2	8457560,8459932,	8457766,8463092,
MIR4458HG	ENST00000606459	5	+	8457690	8463095	8463095	8463095	2	8457690,8459932,	8457766,8463095,
MIR4458HG	ENST00000670196	5	+	8457694	8463093	8463093	8463093	3	8457694,8459932,8461864,	8457766,8459975,8463093,
MIR4458HG	ENST00000652260	5	+	8457705	8486930	8486930	8486930	4	8457705,8459932,8479073,8486087,	8457766,8460152,8479147,8486930,
AC091965.2	ENST00000512324	5	-	8455945	8456558	8456558	8456558	1	8455945,	8456558,
AC091965.5	ENST00000624785	5	+	8458841	8459183	8459183	8459183	1	8458841,	8459183,
MIR4458	ENST00000578872	5	+	8460924	8460999	8460999	8460999	1	8460924,	8460999,
AC091953.1	ENST00000657075	5	+	8525143	8561678	8561678	8561678	5	8525143,8528476,8533645,8560076,8561553,	8525344,8528678,8533930,8560219,8561678,
AC091953.1	ENST00000659580	5	+	8525147	8560958	8560958	8560958	5	8525147,8528510,8533645,8560076,8560687,	8525344,8528678,8533930,8560219,8560958,
AC091953.1	ENST00000654467	5	+	8525158	8561682	8561682	8561682	4	8525158,8533645,8560076,8561553,	8525344,8533930,8560219,8561682,
AC091953.1	ENST00000505784	5	+	8525178	8528679	8528679	8528679	2	8525178,8528510,	8525344,8528679,
AC091953.3	ENST00000623979	5	+	8572046	8572206	8572206	8572206	1	8572046,	8572206,
AC091953.5	ENST00000625179	5	+	8614355	8614696	8614696	8614696	1	8614355,	8614696,
MTND6P2	ENST00000512226	5	-	8618580	8619104	8619104	8619104	1	8618580,	8619104,
MTCYBP37	ENST00000510642	5	+	8619177	8620310	8620310	8620310	1	8619177,	8620310,
AC091953.2	ENST00000624775	5	-	8659763	8660059	8660059	8660059	1	8659763,	8660059,
AC091953.6	ENST00000622919	5	-	8669017	8669250	8669250	8669250	1	8669017,	8669250,
AC091953.4	ENST00000623220	5	-	8685580	8685816	8685816	8685816	1	8685580,	8685816,
AC091932.4	ENST00000623386	5	-	8717683	8717883	8717883	8717883	1	8717683,	8717883,
AC091932.2	ENST00000623014	5	+	8754868	8755159	8755159	8755159	1	8754868,	8755159,
AC091932.1	ENST00000569381	5	-	8785041	8785468	8785468	8785468	1	8785041,	8785468,
AC091932.3	ENST00000624223	5	+	8793874	8794197	8794197	8794197	1	8793874,	8794197,
LINC02199	ENST00000669656	5	+	8839699	8881525	8881525	8881525	3	8839699,8868966,8880887,	8839958,8869018,8881525,
LINC02199	ENST00000510229	5	+	8839731	8881240	8881240	8881240	3	8839731,8880887,8881135,	8839958,8881051,8881240,
